kata,sinonim
tanggah,ngadangheuak
kasurungkeun,kajurung
duaan,paduduaan
ngadiukkeun,nyalikeun
ngaduga,"nyangka,ngira-ngara"
kaduka,bisa disangka
kasedih,kasusah
lembur,"pakampungan,kampung,desa"
ngadukung,"ngarojong,ngadeudeul"
dukungan,rojongan
duren,kadu
durjana,jelma jahat
duta,utusan
ngabring,ngaleut
ngurilingkeun,ngideran
akibat,"pengaruh,ngiringan,miluan"
ngabuntut,nuturkeun
sari,"cipati,inti"
nyingcet,"nyingkahan,ngahindar"
heulang,alap-alap
ngumbara,ngalalana
baramaen,jajaluk
ngasuh,"ngaping,ngajaring,ngatik,ngabingbing,ngadidik"
nyempret,ngarengket
bendungan,"tebat,tambak"
ngagelom,ngolomoh
ngangkat,"ngaluarkeun,nyadarkeun,nalipak,nyadar,nginsapkeun"
arti,"makna,harti"
hiji,esa
paedah,"guna,kasiat,mangpaat,gunana"
palak,palintangan
palasipah,pilsapat
hukum islam,patwa
pileg,salesma
poto,potret
riributan,kakacowan
kuat,"rosa,rongkah,pengkuh,teguh,weduk,baal,hebat,panceg"
ngagagalkeun,ngabolaykeun
aga-eugeu,ngatog
gaib,"goib,sihir,tenung"
riwuh,paciweuh teu puguh
tetela,"jelas,teges"
gangas,"galak,kejem,bengis,telenges"
meuweuh,"ngagalaksak,mahabu"
kali,"lipet,rangkep"
ngalipetkeun,rangkep-rangkep
ngaganggu,ngagoda
gagah,kasep
ngagantung,ngagawing
haransi,jaminan
gurat,garis
ngagaris,ngagurat
campur,gaul
gayung,siwur
rurusuhan,"gagancangan,buru-buru,rusuh"
tanda-tanda,alammat
geulang,pinggel
gideug,godeg
gogodeg,gigideug
nyorosot,"nyorodot,lingsir"
ombak,galura
karesep,"pangaresep,kabungah"
gemes,geregetan
kagumbiraan,kabungahan
cicing bae,nagen
ibur,"gehger,guyur"
nyerang,narajang
jangkep,lengkep
nyaian,ngeueum
akod,"ais,gandong"
ngakod,"ngais,ngagandong"
akodan,"aisan,gandongan"
genggem,keupeul
ngagenggem,ngeupeul
kagenggem,kakeupeul
genggeman,keupeulan
gengsi,martabat
sieun,"miris,inggis,ngeri,rempan"
lengkeh,bahaya
kenteng,genteng
obah,"usik,gerak,oyag,goncang"
ngobahkeun,ngusikeun
cumpu-campa,"rumpu-rampa,gagarayaman"
kaca-kaca,gaoura
murupuy,gerimis
ngagesrek,gagasah
ngageser,ngesed
geutah,leugeut
gigolo,pamacek
ngageleng,ngagiles
kageleng,kagiles
giliran,gentian
gingsul,karehol
ginjel,kabungbuah
global,sagemblengna
golok,bedog
gunta-ganti,guntas-gentos
gorong-gorong,"hong,saluran cai"
tatabasa,aturan basa
grogi,rampang-reumpeung
grup,kelompok
kageuing,kahudangkeun
guna-guna,"pelet,teluh"
gundu,kaleci
gundul,"bitak,dugul"
ngagundulan,ngabotakan
kekemu,ngagurah
oconan,luluconan
paguron,paguruan
guruh,"guludug,petir"
nyeepkeun,meakkeun
seepeun,kabeakan
hadiah,"ganjaran,katineung"
teunggeul,gebug
neunggeul,ngagebug
teunggeulan,gebugan
ngusir,ngagebah
nu ngusir,nu ngagebah
arah,tujuan
boga arah,boga tujuan
ngahambat,ngahalangan
kahambat,kahalangan
gabug,"kosong,hapa,bajir,lowong"
ngampar,ngabentang
ampir,meh
ancur,"remuk,bubuk"
hangar,hanggar
ngahapus,mupus
panghapus,pamupus
boga harga,mahal
harkat,kahormatan
kudu,"wajib,misti,kedah"
ati,hati
narik,metot
irit,"gemi,rikrik"
eureun,liren
hias,paes
hiasan,"paesan,nisan"
mere,"nyumbang,mikeun"
pacabakan,pagawean
pamisah,"batas,wates"
kumpul,kempel
ngingkah,"ngaleos,nyingkir"
itungan,balitungan
hormat,"ajen,harga,kualitas"
ngahormat,"ngajenan,ngahargaan"
ngalugas,ngacungkeun
karusuhan,kaributan
hurup,aksara
ngiket,meungkeut
ihlas,rido
ngaihlaskeun,ngaridokeun
kaihlasan,karidoan
milu,ngiring
ngajakan,mawa
imam,pamingpin
iman,"percaya,yakin"
jalir,sulaya
lehoan,umbelan
suntik,injeksi
insap,sadar
iringan,aleutan
nyiksik,siksikan
istana,karato
jaga,"jagi,engke"
jagad,dunya
ngaput,ngajait
kaputan,jaitan
tukang ngaput,tukang jait
nyoba,ngajajal
jalang,bangor
ngarayap,"ngarambat,ngarembet"
nguntun,nganyam
jam,beker
nyabak,ngarampa
kacabak,karampa
cabakan,rampaan
jamak,"lumrah,teu aneh,ilahar,biasa,lajim"
ngajamu,nyuguhan
suungan,supaan
ngaranda,rarandaan
nular,nepa
katularan,katepaan
bakal bayi,utun inji
jalu,jago
ngarampas,"ngarebut,ngajabel"
jarang-jarang,carang-carang
jaruman,aya jarumna
ninggang,ngaragragan
katinggang,karagragan
jawab,"tembal,walon"
jaya,unggul
ngajebak,"mikat,narik ati"
kajebak,kapikat
jebakan,pamikat
hanjeli,sele
jemput,papag
ngajemput,mapag
nu ngajemput,nu mapag
sakeudeung,"sakedap,sakolepat"
mayit,layon
ngalongok,"ngalayar,ngalieuk"
rupa,maem
eurad,jiret
tikusruk,tigebrus
ngusrukkeun,nyilakakeun
jidar,garisan
jilbab,tiung
nu ngalilindeuk,pawang
ngajiplak,"niron,neplak,niru,nyonto,tulad,nurutan,jiplak"
nu ngajiplak,nu niron
jetu,"matih,cespleng,manjur"
jompo,kolot pisan
jongko,lapak
ngajual,ngical
kajual,kaical
nu ngajual,nu ngical
bajuang,bajoang
juara,meunang
teleng,deleng
jumlah,"jumblah,total"
manggihan,nepangan
kaca,eunteung
kacapanon,kacasoca
ngaca,ngeunteung
kadang-kadang,"sakapeung,kalankalan"
kaget,reuwas
